Compilation;Date;Value
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-01;25663.427408521
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-02;25819.196596392
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-03;25974.965784263
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-04;26130.734972134
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-05;26286.504160006
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-06;26442.273347877
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-07;26598.042535748
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-08;26753.811723619
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-09;26909.58091149
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-10;27065.350099361
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-11;27221.119287233
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-12;27376.888475104
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-13;27532.657662975
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-14;27688.426850846
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-15;27844.196038717
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-16;27999.965226588
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-17;28155.73441446
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-18;28311.503602331
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-19;28467.272790202
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-20;28623.041978073
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-21;28778.811165944
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-22;28934.580353815
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-23;29090.349541686
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-24;29246.118729558
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-25;29401.887917429
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-26;29557.6571053
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-27;29713.426293171
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-28;29869.195481042
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-29;30024.964668913
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-30;30180.733856785
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-31;30336.503044656
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-01;30492.272232527
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-02;30648.041420398
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-03;30803.810608269
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-04;30959.57979614
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-05;31115.348984011
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-06;31271.118171883
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-07;31426.887359754
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-08;31582.656547625
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-09;31738.425735496
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-10;31894.194923367
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-11;32049.964111238
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-12;32205.73329911
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-13;32361.502486981
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-14;32517.271674852
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-15;32673.040862723
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-16;32828.810050594
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-17;32984.579238465
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-18;33140.348426337
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-19;33296.117614208
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-20;33451.886802079
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-21;33607.65598995
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-22;33763.425177821
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-23;33919.194365692
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-24;34074.963553563
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-25;34230.732741435
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-26;34386.501929306
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-27;34542.271117177
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-28;34698.040305048
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-29;34853.809492919
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-30;35009.57868079
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-31;35165.347868662
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-01;35321.117056533
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-02;35476.886244404
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-03;35632.655432275
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-04;35788.424620146
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-05;35944.193808017
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-06;36099.962995888
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-07;36255.73218376
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-08;36411.501371631
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-09;36567.270559502
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-10;36723.039747373
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-11;36878.808935244
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-12;37034.578123115
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-13;37190.347310987
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-14;37346.116498858
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-15;37501.885686729
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-16;37657.6548746
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-17;37813.424062471
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-18;37969.193250342
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-19;38124.962438213
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-20;38280.731626085
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-21;38436.500813956
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-22;38592.270001827
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-23;38748.039189698
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-24;38903.808377569
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-25;39059.57756544
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-26;39215.346753312
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-27;39371.115941183
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-28;39526.885129054
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-29;39682.654316925
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-09-30;39838.423504796
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-01;39994.192692667
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-02;40149.961880538
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-03;40305.73106841
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-04;40461.500256281
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-05;40617.269444152
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-06;40773.038632023
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-07;40928.807819894
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-08;41084.577007765
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-09;41240.346195637
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-10;41396.115383508
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-11;41551.884571379
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-12;41707.65375925
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-13;41863.422947121
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-14;42019.192134992
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-15;42174.961322864
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-16;42330.730510735
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-17;42486.499698606
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-18;42642.268886477
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-19;42798.038074348
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-20;42953.807262219
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-21;43109.57645009
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-22;43265.345637962
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-23;43421.114825833
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-24;43576.884013704
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-25;43732.653201575
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-26;43888.422389446
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-27;44044.191577317
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-28;44199.960765189
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-29;44355.72995306
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-30;44511.499140931
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-10-31;44667.268328802
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-01;44823.037516673
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-02;44978.806704544
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-03;45134.575892415
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-04;45290.345080287
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-05;45446.114268158
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-06;45601.883456029
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-07;45757.6526439
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-08;45913.421831771
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-09;46069.191019642
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-10;46224.960207514
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-11;46380.729395385
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-12;46536.498583256
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-13;46692.267771127
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-14;46848.036958998
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-15;47003.806146869
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-16;47159.57533474
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-17;47315.344522612
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-18;47471.113710483
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-19;47626.882898354
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-20;47782.652086225
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-21;47938.421274096
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-22;48094.190461967
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-23;48249.959649839
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-24;48405.72883771
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-25;48561.498025581
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-26;48717.267213452
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-27;48873.036401323
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-28;49028.805589194
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-29;49184.574777066
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-11-30;49340.343964937
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-01;49496.113152808
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-02;49651.882340679
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-03;49807.65152855
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-04;49963.420716421
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-05;50119.189904292
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-06;50274.959092164
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-07;50430.728280035
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-08;50586.497467906
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-09;50742.266655777
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-10;50898.035843648
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-11;51053.805031519
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-12;51209.574219391
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-13;51365.343407262
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-14;51521.112595133
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-15;51676.881783004
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-16;51832.650970875
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-17;51988.420158746
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-18;52144.189346617
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-19;52299.958534489
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-20;52455.72772236
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-21;52611.496910231
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-22;52767.266098102
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-23;52923.035285973
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-24;53078.804473844
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-25;53234.573661716
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-26;53390.342849587
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-27;53546.112037458
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-28;53701.881225329
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-29;53857.6504132
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-30;54013.419601071
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-12-31;54169.188788942
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-01;54324.957976814
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-02;54480.727164685
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-03;54636.496352556
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-04;54792.265540427
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-05;54948.034728298
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-06;55103.803916169
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-07;55259.573104041
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-08;55415.342291912
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-09;55571.111479783
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-10;55726.880667654
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-11;55882.649855525
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-12;56038.419043396
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-13;56194.188231268
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-14;56349.957419139
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-15;56505.72660701
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-16;56661.495794881
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-17;56817.264982752
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-18;56973.034170623
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-19;57128.803358494
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-20;57284.572546366
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-21;57440.341734237
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-22;57596.110922108
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-23;57751.880109979
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-24;57907.64929785
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-25;58063.418485721
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-26;58219.187673593
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-27;58374.956861464
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-28;58530.726049335
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-29;58686.495237206
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-30;58842.264425077
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-01-31;58998.033612948
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-01;59153.802800819
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-02;59309.571988691
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-03;59465.341176562
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-04;59621.110364433
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-05;59776.879552304
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-06;59932.648740175
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-07;60088.417928046
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-08;60244.187115918
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-09;60399.956303789
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-10;60555.72549166
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-11;60711.494679531
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-12;60867.263867402
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-13;61023.033055273
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-14;61178.802243144
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-15;61334.571431016
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-16;61490.340618887
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-17;61646.109806758
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-18;61801.878994629
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-19;61957.6481825
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-20;62113.417370371
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-21;62269.186558243
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-22;62424.955746114
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-23;62580.724933985
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-24;62736.494121856
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-25;62892.263309727
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-26;63048.032497598
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-27;63203.80168547
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2011-02-28;63359.570873341
